Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.437348	2.934167	0.437348	6.300121	2.215688	0							0.444522	2.540292
0.439013	2.939951	0.439013	6.300161	2.224014	0							0.446187	2.546865
0.440678	2.946727	0.440678	6.300172	2.232339	0							0.447852	2.553438
0.442342	2.954186	0.442342	6.300225	2.240664	0							0.449517	2.560012
0.444007	2.960363	0.444007	6.300238	2.24899	0							0.451182	2.564308
0.445672	2.965822	0.445672	6.30031	2.257315	0							0.452847	2.568605
0.447337	2.972756	0.447337	6.300342	2.26564	0							0.454512	2.572901
0.449002	2.980967	0.449002	6.300371	2.273966	0							0.456176	2.577198
0.450667	2.989763	0.450667	6.300378	2.282291	0							0.457841	2.581494
0.452332	2.997907	0.452332	6.30046	2.290616	0							0.459506	2.58579
0.453997	3.005063	0.453997	6.300543	2.298942	0							0.461171	2.590087
0.455661	3.013507	0.455661	6.300594	2.307267	0							0.462836	2.594383
0.457326	3.022041	0.457326	6.300639	2.315592	0							0.464501	2.59868
0.458991	3.029862	0.458991	6.300627	2.323918	0							0.466166	2.602976
0.460656	3.036542	0.460656	6.300691	2.332243	0							0.467831	2.607228
0.462321	3.045128	0.462321	6.300684	2.340568	0							0.469496	2.61148
0.463986	3.052783	0.463986	6.300738	2.348894	0							0.47116	2.615731
0.465651	3.0603	0.465651	6.300718	2.357219	0							0.472825	2.619983
0.467316	3.067272	0.467316	6.300728	2.365544	0							0.47449	2.624235
0.46898	3.073788	0.46898	6.30075	2.37387	0							0.476155	2.628487
0.470645	3.082049	0.470645	6.300758	2.382195	0							0.47782	2.632739
0.47231	3.09035	0.47231	6.300753	2.39052	0							0.479485	2.636991
0.473975	3.099435	0.473975	6.300834	2.398846	0							0.48115	2.641243
0.47564	3.107808	0.47564	6.300918	2.407171	0							0.482815	2.645494
0.477305	3.11556	0.477305	6.300994	2.415496	0							0.484479	2.649698
0.47897	3.123562	0.47897	6.30115	2.423822	0							0.486144	2.653902
0.480635	3.133551	0.480635	6.301288	2.432147	0							0.487809	2.658106
0.482299	3.142885	0.482299	6.301393	2.440472	0							0.489474	2.66231
0.483964	3.152003	0.483964	6.301473	2.448797	0							0.491139	2.666514
0.485629	3.160312	0.485629	6.301589	2.457123	0							0.492804	2.670718
0.487294	3.170537	0.487294	6.301683	2.465448	0							0.494469	2.674922
0.488959	3.18032	0.488959	6.301805	2.473773	0							0.496134	2.679127
0.490624	3.190107	0.490624	6.30194	2.482099	0							0.497798	2.683331
0.492289	3.199634	0.492289	6.30208	2.490424	0							0.499463	2.687535
0.493954	3.209867	0.493954	6.302216	2.498749	0							0.501128	2.693794
0.495619	3.220363	0.495619	6.302401	2.507075	0							0.502793	2.700054
0.497283	3.229643	0.497283	6.302642	2.5154	0							0.504458	2.706315
0.498948	3.2387	0.498948	6.302855	2.523726	0							0.506123	2.712574
0.500613	3.250144	0.500613	6.30305	2.532051	0							0.507788	2.718834
0.502278	3.263381	0.502278	6.303216	2.540376	0							0.509453	2.725094
0.503943	3.274406	0.503943	6.303356	2.548702	0							0.511117	2.731354
0.505608	3.285427	0.505608	6.303511	2.557027	0							0.512782	2.737614
0.507273	3.296608	0.507273	6.303682	2.565352	0							0.514447	2.743874
0.508938	3.307734	0.508938	6.303793	2.573678	0							0.516112	2.750134
0.510602	3.319734	0.510602	6.303977	2.582003	0							0.517777	2.754206
0.512267	3.331236	0.512267	6.304177	2.590328	0							0.519442	2.758277
0.513932	3.342216	0.513932	6.304326	2.598654	0							0.521107	2.762349
0.515597	3.354049	0.515597	6.304537	2.606979	0							0.522772	2.766421
